Origin Time:2025/01/21 00:17:27
Lon:120.57¢XE
Lat:23.23¢XN
Depth:9.7km
Mag:6.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   5.54,BAZ=255.17,PGA(V)= 493.40,PGA(NS)= 892.15,PGA(EW)=2104.96,PGV(V)=   8.93,PGV(NS)=  30.98,PGV(EW)=  72.95,Int= 6®z,PGA(SUM)=2057.49,PGV(SUM)=  79.10
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  97.85,BAZ=200.87,PGA(V)=   6.69,PGA(NS)=  32.13,PGA(EW)=  25.39,PGV(V)=   0.42,PGV(NS)=   1.13,PGV(EW)=   1.62,Int= 4¯Å,PGA(SUM)=  34.78,PGV(SUM)=   1.62
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  98.51,BAZ=342.64,PGA(V)=   6.44,PGA(NS)=   9.65,PGA(EW)=  13.31,PGV(V)=   0.46,PGV(NS)=   0.76,PGV(EW)=   1.01,Int= 3¯Å,PGA(SUM)=  14.79,PGV(SUM)=   1.08
Stacode=WLC ,Staname=¤p¯[²y,Stalon=120.37,Stalat=22.35,Dist= 100.07,BAZ= 11.89,PGA(V)=   3.64,PGA(NS)=   6.39,PGA(EW)=   6.40,PGV(V)=   0.94,PGV(NS)=   1.19,PGV(EW)=   1.89,Int= 2¯Å,PGA(SUM)=   7.24,PGV(SUM)=   2.01
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist= 100.13,BAZ=241.03,PGA(V)=   7.19,PGA(NS)=  16.59,PGA(EW)=  13.51,PGV(V)=   0.52,PGV(NS)=   1.06,PGV(EW)=   0.90,Int= 3¯Å,PGA(SUM)=  17.71,PGV(SUM)=   1.12
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist= 101.21,BAZ=217.65,PGA(V)=  10.72,PGA(NS)=  13.38,PGA(EW)=   9.63,PGV(V)=   0.36,PGV(NS)=   0.45,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=  12.62,PGV(SUM)=   0.48
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 101.96,BAZ=186.55,PGA(V)=   6.22,PGA(NS)=  16.05,PGA(EW)=  12.89,PGV(V)=   0.34,PGV(NS)=   0.89,PGV(EW)=   0.70,Int= 3¯Å,PGA(SUM)=  15.83,PGV(SUM)=   0.92
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist= 103.95,BAZ=341.70,PGA(V)=   3.88,PGA(NS)=   7.11,PGA(EW)=   6.22,PGV(V)=   0.44,PGV(NS)=   0.43,PGV(EW)=   0.55,Int= 2¯Å,PGA(SUM)=   6.90,PGV(SUM)=   0.66
Stacode=PNG ,Staname=°¨¤½¥«,Stalon=119.56,Stalat=23.57,Dist= 109.32,BAZ=109.80,PGA(V)=  11.54,PGA(NS)=  31.42,PGA(EW)=  31.25,PGV(V)=   0.67,PGV(NS)=   0.77,PGV(EW)=   1.22,Int= 4¯Å,PGA(SUM)=  28.10,PGV(SUM)=   1.30
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist= 109.82,BAZ=234.13,PGA(V)=   7.44,PGA(NS)=  12.64,PGA(EW)=   9.13,PGV(V)=   0.46,PGV(NS)=   0.67,PGV(EW)=   0.62,Int= 3¯Å,PGA(SUM)=  13.25,PGV(SUM)=   0.88
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist= 110.98,BAZ=303.81,PGA(V)=   4.68,PGA(NS)=  11.64,PGA(EW)=   7.77,PGV(V)=   0.51,PGV(NS)=   1.12,PGV(EW)=   1.35,Int= 3¯Å,PGA(SUM)=  12.11,PGV(SUM)=   1.66
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist= 112.96,BAZ=242.13,PGA(V)=   3.78,PGA(NS)=   8.58,PGA(EW)=   9.33,PGV(V)=   0.31,PGV(NS)=   0.70,PGV(EW)=   0.61,Int= 3¯Å,PGA(SUM)=   9.79,PGV(SUM)=   0.72
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 113.69,BAZ=177.61,PGA(V)=  27.59,PGA(NS)=  44.69,PGA(EW)=  48.82,PGV(V)=   1.01,PGV(NS)=   3.17,PGV(EW)=   2.70,Int= 4¯Å,PGA(SUM)=  56.71,PGV(SUM)=   3.64
Stacode=SLIU,Staname=·à¤l  ,Stalon=120.80,Stalat=22.22,Dist= 114.81,BAZ=348.18,PGA(V)=   4.31,PGA(NS)=   8.56,PGA(EW)=   9.56,PGV(V)=   0.70,PGV(NS)=   0.70,PGV(EW)=   0.81,Int= 3¯Å,PGA(SUM)=  12.69,PGV(SUM)=   1.00
